year,imdb,title
2012,tt1772341,Wreck-It Ralph
2012,tt1790885,Zero Dark Thirty
2011,tt1622547,30 Minutes or Less
2011,tt1306980,50/50
2011,tt1571222,A Dangerous Method
2011,tt1422136,A Lonely Place to Die
2011,tt1268799,A Very Harold &amp; Kumar 3D Christmas
2011,tt1549572,Another Earth
2011,tt1772240,Apollo 18
2011,tt1430607,Arthur Christmas
2011,tt1478964,Attack the Block
2011,tt1284575,Bad Teacher
2011,tt1217613,Battle: Los Angeles
2011,tt1152398,Beastly
2011,tt1629705,Blackthorn
2011,tt1478338,Bridesmaids
2011,tt0458339,Captain America: The First Avenger
2011,tt1216475,Cars 2
2011,tt1684628,Circumstance
2011,tt1657507,Colombiana
2011,tt0816462,Conan the Barbarian
2011,tt1598778,Contagion
2011,tt1372686,Coriolanus
2011,tt0409847,Cowboys &amp; Aliens
2011,tt1701990,Detention
2011,tt1650043,Diary of a Wimpy Kid: Rodrick Rules
2011,tt1564349,Dolphin Tale
2011,tt1462041,Dream House
2011,tt0780504,Drive
2011,tt1596343,Fast Five
2011,tt1622979,Final Destination 5
2011,tt1068242,Footloose
2011,tt1438176,Fright Night
2011,tt1133985,Green Lantern
2011,tt0480687,Hall Pass
2011,tt0993842,Hanna
2011,tt1201607,Harry Potter and the Deathly Hallows: Part 2
2011,tt1506999,Haywire
2011,tt1403177,Hesher
2011,tt1562568,Higher Ground
2011,tt1640459,Hobo with a Shotgun
2011,tt1411704,Hop
2011,tt1499658,Horrible Bosses
2011,tt0970179,Hugo
2011,tt1464540,I Am Number Four
2011,tt1253864,Immortals
2011,tt1637688,In Time
2011,tt1606618,Iris
2011,tt1410063,Jin ling shi san chai
2011,tt1634122,Johnny English Reborn
2011,tt1640484,Jumping the Broom
2011,tt1564367,Just Go with It
2011,tt1788391,Kill List
2011,tt1448755,Killer Elite
2011,tt1302011,Kung Fu Panda 2
2011,tt1508675,Le Havre
2011,tt1758692,Like Crazy
2011,tt1219289,Limitless
2011,tt0466893,Margaret
2011,tt1615147,Margin Call
2011,tt1305591,Mars Needs Moms
2011,tt1441326,Martha Marcy May Marlene
2011,tt1527186,Melancholia
2011,tt1605783,Midnight in Paris
2011,tt1229238,Mission: Impossible - Ghost Protocol
2011,tt1210166,Moneyball
2011,tt1396218,Mr. Popper&#39;s Penguins
2011,tt1598822,New Year&#39;s Eve
2011,tt1411238,No Strings Attached
2011,tt1720182,October Baby
2011,tt1637706,Our Idiot Brother
2011,tt1778304,Paranormal Activity 3
2011,tt1092026,Paul
2011,tt1298650,Pirates of the Caribbean: On Stranger Tides
2011,tt0822847,Priest
2011,tt0448694,Puss in Boots
2011,tt1192628,Rango
2011,tt0433035,Real Steel
2011,tt1486185,Red Riding Hood
2011,tt0873886,Red State
2011,tt1498569,Restless
2011,tt1436562,Rio
2011,tt1318514,Rise of the Planet of the Apes
2011,tt1723811,Shame
2011,tt1541995,Snow Flower and the Secret Fan
2011,tt1596346,Soul Surfer
2011,tt0945513,Source Code
2011,tt0999913,Straw Dogs
2011,tt0978764,Sucker Punch
2011,tt1650062,Super 8
2011,tt1675192,Take Shelter
2011,tt1385826,The Adjustment Bureau
2011,tt0983193,The Adventures of Tintin
2011,tt1655442,The Artist
2011,tt1412386,The Best Exotic Marigold Hotel
2011,tt1259521,The Cabin in the Woods
2011,tt1093357,The Darkest Hour
2011,tt1535616,The Divide
2011,tt1235170,The Future
2011,tt1568346,The Girl with the Dragon Tattoo
2011,tt0990407,The Green Hornet
2011,tt1540133,The Guard
2011,tt1454029,The Help
2011,tt1007029,The Iron Lady
2011,tt1189340,The Lincoln Lawyer
2011,tt0472399,The Mechanic
2011,tt1204342,The Muppets
2011,tt1161864,The Rite
2011,tt1265990,The Roommate
2011,tt0472181,The Smurfs
2011,tt1509767,The Three Musketeers
2011,tt0478304,The Tree of Life
2011,tt1324999,The Twilight Saga: Breaking Dawn - Part 1
2011,tt0800369,Thor
2011,tt1340800,Tinker Tailor Soldier Spy
2011,tt0471042,Tower Heist
2011,tt1399103,Transformers: Dark of the Moon
2011,tt1568911,War Horse
2011,tt1291584,Warrior
2011,tt1389137,We Bought a Zoo
2011,tt1714210,Weekend
2011,tt0770703,What&#39;s Your Number
2011,tt1449283,Winnie the Pooh
2011,tt1270798,X-Men: First Class
